12:38:20.480 ->  SD OK
12:38:20.529 ->  BREAK STOP
12:38:20.767 ->  Controller Err
12:39:10.013 ->  SD OK
12:39:10.030 ->  BREAK STOP
12:39:10.269 ->  Controller Err
12:39:36.574 ->  SD OK
12:39:36.592 ->  BREAK STOP
12:39:36.828 ->  Controller Set
12:39:38.574 ->  START
12:39:38.763 ->  Speed:0.00 km/hr 
12:39:63.940 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.062 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:64.085 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.215 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:64.236 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.404 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.424 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.587 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.607 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.646 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.688 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.780 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.801 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.839 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.882 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.924 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:64.967 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.157 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.178 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.318 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:65.402 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.455 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.475 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.514 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.556 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.622 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.643 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
