18:00:37.28608 ->  Battery :12.24 V~
18:00:37.28680 ->  Speed:0.00 km/hr ~
18:00:37.28760 ->  Battery :12.28 V~
18:00:37.28832 ->  Speed:0.00 km/hr ~
18:00:37.28910 ->  Battery :12.27 V~
18:00:37.28982 ->  Speed:0.00 km/hr ~
18:00:37.29061 ->  Battery :12.33 V~
18:00:37.29133 ->  Speed:0.00 km/hr ~
18:00:37.29213 ->  Battery :12.28 V~
18:00:37.29284 ->  Speed:0.00 km/hr ~
18:00:37.29363 ->  Battery :12.28 V~
18:00:37.29435 ->  Speed:0.00 km/hr ~
18:00:37.29515 ->  Battery :12.30 V~
18:00:38.27586 ->  Speed:0.00 km/hr ~
18:00:38.27665 ->  Battery :12.30 V~
18:00:38.27737 ->  Speed:0.00 km/hr ~
18:00:38.27817 ->  Battery :12.27 V~
18:00:38.27888 ->  Speed:0.00 km/hr ~
18:00:38.27967 ->  Battery :12.33 V~
18:00:38.28042 ->  Speed:0.00 km/hr ~
18:00:38.28094 ->  (141,93,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:38.28155 ->  LOCK~
18:00:38.28204 ->  Battery :12.30 V~
18:00:38.28275 ->  Speed:0.00 km/hr ~
18:00:38.28329 ->  (136,141,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:38.28388 ->  LOCK~
18:00:38.28438 ->  Battery :12.34 V~
18:00:38.28510 ->  Speed:0.00 km/hr ~
18:00:39.26563 ->  (93,136,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:39.26623 ->  LOCK~
18:00:39.26673 ->  Battery :12.30 V~
18:00:39.26744 ->  Speed:0.00 km/hr ~
18:00:39.26798 ->  Battery :12.37 V~
18:00:39.26869 ->  Speed:0.00 km/hr ~
18:00:39.26920 ->  Battery :12.37 V~
18:00:39.26991 ->  Speed:0.00 km/hr ~
18:00:39.27043 ->  (144,93,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:39.27103 ->  LOCK~
18:00:39.27153 ->  Battery :12.33 V~
18:00:39.27225 ->  Speed:0.00 km/hr ~
18:00:39.27277 ->  (129,144,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:39.27336 ->  LOCK~
18:00:39.27387 ->  Battery :12.31 V~
18:00:39.27458 ->  Speed:0.00 km/hr ~
18:00:39.27513 ->  (93,129,93,93,30.00,100,0)	BREAK STOPPED ~
18:00:40.25573 ->  LOCK~
18:00:40.25623 ->  Battery :12.36 V~
18:00:40.25694 ->  Speed:0.00 km/hr ~
18:00:40.25745 ->  Battery :12.31 V~
18:00:40.25817 ->  Speed:0.00 km/hr ~
18:00:40.25867 ->  Battery :12.31 V~
18:00:40.25938 ->  Speed:0.00 km/hr ~
18:00:40.25990 ->  Battery :12.33 V~
18:00:40.26061 ->  Speed:0.00 km/hr ~
18:00:40.26112 ->  Battery :12.31 V~
18:00:40.26183 ->  Speed:0.00 km/hr ~
18:00:40.26233 ->  Battery :12.30 V~
18:00:40.26308 ->  Speed:0.00 km/hr ~
18:00:40.26358 ->  Battery :12.25 V~
18:00:40.26430 ->  Speed:0.00 km/hr ~
18:00:40.26481 ->  Battery :12.31 V~
18:00:41.24553 ->  Speed:0.00 km/hr ~
18:00:41.24603 ->  Battery :12.34 V~
18:00:41.24675 ->  Speed:0.00 km/hr ~
18:00:41.24726 ->  Battery :12.34 V~
18:00:41.24798 ->  Speed:0.00 km/hr ~
18:00:41.24848 ->  Battery :12.37 V~
